id	admitted_17	elapsed_17_s	reason_17	admitted_60	elapsed_60_s	reason_60
RotationCalculator.ltl	yes	0.074605		yes	0.075243	
SPI.ltl	yes	0.144789		yes	0.139921	
SPIPureNext.ltl	no	0.112687	unsupported_or_failed	no	0.120378	unsupported_or_failed
SPIReadClk.ltl	yes	0.065813		yes	0.065284	
SPIReadManag.ltl	no	0.855843	budget_exhausted	no	1.005193	budget_exhausted
SPIReadSdi.ltl	yes	0.069103		yes	0.069266	
SPIWriteClk.ltl	yes	0.066726		yes	0.066029	
SPIWriteManag.ltl	no	0.115566	unsupported_or_failed	no	0.112917	unsupported_or_failed
SPIWriteSdi.ltl	yes	0.070364		yes	0.069310	
Scoreboard.ltl	yes	0.070271		yes	0.069471	
Sensor.ltl	no	0.854258	budget_exhausted	no	1.006531	budget_exhausted
SensorInit.ltl	yes	0.076535		yes	0.079826	
SensorPart.ltl	yes	0.077824		yes	0.076963	
SensorRegister.ltl	yes	0.070035		yes	0.064885	
SensorSelector.ltl	no	0.855471	budget_exhausted	no	1.005962	budget_exhausted
SensorSubmodulChooser.ltl	yes	0.265775		yes	0.276387	
Shades2Min_63831f8c.ltl	yes	0.071299		yes	0.066622	
Shades2_235467da.ltl	no	0.069526	unsupported_or_failed	no	0.073383	unsupported_or_failed
Shades2_42dc4fff.ltl	no	0.080052	unsupported_or_failed	no	0.077809	unsupported_or_failed
Shades2_70523fbe.ltl	no	0.073349	unsupported_or_failed	no	0.068798	unsupported_or_failed
Shades2_a5f99bc6.ltl	no	0.076161	unsupported_or_failed	no	0.068848	unsupported_or_failed
ShadesMin_aeb1d897.ltl	yes	0.070724		yes	0.066997	
Shades_6479ef9a.ltl	no	0.074237	unsupported_or_failed	no	0.068121	unsupported_or_failed
Shades_974f4a68.ltl	no	0.356351	unsupported_or_failed	no	0.366373	unsupported_or_failed
Shades_9cac58d3.ltl	no	0.070233	unsupported_or_failed	no	0.077243	unsupported_or_failed
Shades_a02758ea.ltl	no	0.067407	unsupported_or_failed	no	0.068011	unsupported_or_failed
SingleContoller_d65ed84e.ltl	no	0.856104	budget_exhausted	no	1.007329	budget_exhausted
SliderDefault.ltl	yes	0.081245		yes	0.088730	
SliderDelayed.ltl	yes	0.399061		yes	0.389657	
SliderScored.ltl	yes	0.170426		yes	0.174135	
System_b0840146.ltl	no	0.067327	unsupported_or_failed	no	0.067029	unsupported_or_failed
Time_a50cadd7.ltl	yes	0.067512		yes	0.064526	
Timer_a50cadd7.ltl	yes	0.067266		yes	0.066943	
TorcsAccelerating.ltl	yes	0.069546		yes	0.068583	
TorcsGearing.ltl	yes	0.067247		yes	0.066852	
TorcsSimple.ltl	yes	0.072041		yes	0.070912	
TorcsSteeringImproved.ltl	yes	0.196750		yes	0.200691	
TorcsSteeringSimple.ltl	yes	0.070612		yes	0.064675	
TorcsSteeringSmart.ltl	yes	0.073342		yes	0.077525	
TwoCounters.ltl	yes	0.082672		yes	0.078900	
TwoCounters2.ltl	yes	0.366903		yes	0.356655	
TwoCounters3.ltl	no	0.854111	budget_exhausted	no	1.006876	budget_exhausted
TwoCounters4.ltl	no	0.853709	budget_exhausted	no	1.005273	budget_exhausted
TwoCounters5.ltl	no	0.857178	budget_exhausted	no	1.009027	budget_exhausted
TwoCountersDisButA0.ltl	no	0.856763	budget_exhausted	no	1.009660	budget_exhausted
TwoCountersDisButA1.ltl	no	0.856311	budget_exhausted	no	1.006470	budget_exhausted
