index	instance	family_key	label	build	expected	result	seconds	fallback_logged
285	robot-resource-2d8.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	1.184828124998603	False
286	robot-resource-2d8.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	1.366400311992038	False
287	robot-resource-2d8.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.139760070014745	False
288	robot-resource-2d8.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	0.9752369620255195	False
289	robot-resource-2d8.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.144081947975792	False
290	robot-resource-2d8.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.48978669999632984	False
291	robot-resource-2d9.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.5545431929640472	False
292	robot-resource-2d9.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	1.336892529972829	False
293	robot-resource-2d9.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	1.335500832006801	False
294	robot-resource-2d9.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	1.4069186230190098	False
295	robot-resource-2d9.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.143167353991885	False
296	robot-resource-2d9.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	1.0739277210086584	False
297	robot-resource-2d9.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.14045571302995	False
298	robot-resource-2d9.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.511999909998849	False
299	robot-to-target-charging1.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	2.3206525709829293	False
300	robot-to-target-charging1.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	2.420352572982665	False
301	robot-to-target-charging1.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	2.2510011139675044	False
302	robot-to-target-charging1.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	2.371873475960456	False
303	robot-to-target-charging1.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	UNREALIZABLE	16.807700488017872	False
304	robot-to-target-charging1.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	1.3642608800437301	False
305	robot-to-target-charging1.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	UNREALIZABLE	16.700892887020018	False
306	robot-to-target-charging1.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	1.3060954720131122	False
307	robot-to-target-charging2.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	2.328294861014001	False
308	robot-to-target-charging2.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	2.3963804580271244	False
309	robot-to-target-charging2.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	2.26094078499591	False
310	robot-to-target-charging2.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	2.410334313986823	False
311	robot-to-target-charging2.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.14281268202467	False
312	robot-to-target-charging2.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	1.454582753998693	False
313	robot-to-target-charging2.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.145789258007426	False
314	robot-to-target-charging2.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	1.352041770995129	False
315	robot-to-target-charging3.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	5.794149879948236	False
316	robot-to-target-charging3.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	5.812454991973937	False
317	robot-to-target-charging3.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	5.731270712974947	False
318	robot-to-target-charging3.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	5.490891453984659	False
319	robot-to-target-charging3.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.088307450991124	False
320	robot-to-target-charging3.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	3.5585841280408204	False
321	robot-to-target-charging3.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.053137910959776	False
322	robot-to-target-charging3.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	3.3254228410078213	False
323	robot-to-target-charging4.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	6.228810178989079	False
324	robot-to-target-charging4.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	6.429846082988661	False
325	robot-to-target-charging4.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	5.856937333010137	False
326	robot-to-target-charging4.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	5.966669732995797	False
327	robot-to-target-charging4.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.05304435302969	False
