instance,native_result,native_seconds,native_exit,converted_result,converted_seconds,converted_exit,comparison
ltl2dba25.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba26.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba27.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
ltl2dba_C2_pb_100_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_10_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_C2_pb_12_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_C2_pb_14_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_16_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_1_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_25_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_C2_pb_2_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_3_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_C2_pb_4_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_C2_pb_50_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_5_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_60_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_6_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.006,0,MATCH
ltl2dba_C2_pb_70_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_7_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_C2_pb_80_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_pb_8_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_C2_pb_9_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_C2_unreal_pb_100_pe_.tlsf,TIMEOUT,17.060,124,TIMEOUT,17.062,124,MATCH
ltl2dba_C2_unreal_pb_10_pe_.tlsf,UNREALIZABLE,0.099,1,UNREALIZABLE,0.093,1,MATCH
ltl2dba_C2_unreal_pb_11_pe_.tlsf,UNREALIZABLE,0.216,1,UNREALIZABLE,0.205,1,MATCH
ltl2dba_C2_unreal_pb_12_pe_.tlsf,UNREALIZABLE,0.447,1,UNREALIZABLE,0.485,1,MATCH
ltl2dba_C2_unreal_pb_13_pe_.tlsf,UNREALIZABLE,1.155,1,UNREALIZABLE,1.105,1,MATCH
ltl2dba_C2_unreal_pb_14_pe_.tlsf,UNREALIZABLE,2.862,1,UNREALIZABLE,2.956,1,MATCH
ltl2dba_C2_unreal_pb_15_pe_.tlsf,UNREALIZABLE,7.412,1,UNREALIZABLE,7.285,1,MATCH
ltl2dba_C2_unreal_pb_16_pe_.tlsf,TIMEOUT,17.067,124,TIMEOUT,17.066,124,MATCH
ltl2dba_C2_unreal_pb_25_pe_.tlsf,TIMEOUT,17.044,124,TIMEOUT,17.031,124,MATCH
ltl2dba_C2_unreal_pb_2_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
ltl2dba_C2_unreal_pb_3_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
ltl2dba_C2_unreal_pb_4_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.007,1,MATCH
ltl2dba_C2_unreal_pb_50_pe_.tlsf,TIMEOUT,17.047,124,TIMEOUT,17.046,124,MATCH
ltl2dba_C2_unreal_pb_5_pe_.tlsf,UNREALIZABLE,0.009,1,UNREALIZABLE,0.008,1,MATCH
ltl2dba_C2_unreal_pb_60_pe_.tlsf,TIMEOUT,17.048,124,TIMEOUT,17.047,124,MATCH
ltl2dba_C2_unreal_pb_6_pe_.tlsf,UNREALIZABLE,0.011,1,UNREALIZABLE,0.012,1,MATCH
ltl2dba_C2_unreal_pb_70_pe_.tlsf,TIMEOUT,17.049,124,TIMEOUT,17.051,124,MATCH
ltl2dba_C2_unreal_pb_7_pe_.tlsf,UNREALIZABLE,0.016,1,UNREALIZABLE,0.017,1,MATCH
ltl2dba_C2_unreal_pb_80_pe_.tlsf,TIMEOUT,17.047,124,TIMEOUT,17.047,124,MATCH
ltl2dba_C2_unreal_pb_8_pe_.tlsf,UNREALIZABLE,0.024,1,UNREALIZABLE,0.024,1,MATCH
ltl2dba_C2_unreal_pb_9_pe_.tlsf,UNREALIZABLE,0.046,1,UNREALIZABLE,0.046,1,MATCH
ltl2dba_E_pb_10_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
ltl2dba_E_pb_12_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_E_pb_14_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_E_pb_15_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_E_pb_16_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_E_pb_1_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_E_pb_2_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_E_pb_3_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_E_pb_4_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_E_pb_5_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_E_pb_6_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_E_pb_7_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_E_pb_8_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_E_pb_9_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_Q_pb_100_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_Q_pb_10_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_Q_pb_12_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_Q_pb_15_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_Q_pb_18_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_Q_pb_1_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_Q_pb_25_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_Q_pb_2_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_Q_pb_3_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_Q_pb_4_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_Q_pb_50_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_Q_pb_5_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_Q_pb_6_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_Q_pb_7_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_Q_pb_8_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_R_pb_10_pe_.tlsf,TIMEOUT,17.035,124,TIMEOUT,17.042,124,MATCH
ltl2dba_R_pb_11_pe_.tlsf,TIMEOUT,17.050,124,TIMEOUT,17.051,124,MATCH
ltl2dba_R_pb_12_pe_.tlsf,TIMEOUT,17.036,124,TIMEOUT,17.036,124,MATCH
ltl2dba_R_pb_14_pe_.tlsf,TIMEOUT,17.023,124,TIMEOUT,17.023,124,MATCH
ltl2dba_R_pb_16_pe_.tlsf,TIMEOUT,17.037,124,TIMEOUT,17.037,124,MATCH
ltl2dba_R_pb_1_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_R_pb_2_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
ltl2dba_R_pb_3_pe_.tlsf,UNREALIZABLE,0.008,1,UNREALIZABLE,0.008,1,MATCH
ltl2dba_R_pb_4_pe_.tlsf,UNREALIZABLE,0.015,1,UNREALIZABLE,0.016,1,MATCH
ltl2dba_R_pb_5_pe_.tlsf,UNREALIZABLE,0.077,1,UNREALIZABLE,0.080,1,MATCH
ltl2dba_R_pb_6_pe_.tlsf,UNREALIZABLE,0.577,1,UNREALIZABLE,0.611,1,MATCH
ltl2dba_R_pb_7_pe_.tlsf,UNREALIZABLE,6.807,1,UNREALIZABLE,6.127,1,MATCH
ltl2dba_R_pb_8_pe_.tlsf,TIMEOUT,17.024,124,TIMEOUT,17.024,124,MATCH
ltl2dba_U1_pb_100_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
ltl2dba_U1_pb_10_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_U1_pb_12_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_U1_pb_15_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_U1_pb_18_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_U1_pb_1_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_U1_pb_25_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
