pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,Error,Expected_result
485263868,LTL-Real/amba_decomposed_encode_6.tlsf,9158619,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.235278,0.228046,113188.0,REALIZABLE,-,realizable
485263869,LTL-Real/amba_decomposed_encode_6.tlsf,9158619,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.229268,0.23258,113188.0,REALIZABLE,-,realizable
485263870,LTL-Real/amba_decomposed_encode_6.tlsf,9158619,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.231289,0.23363,113188.0,REALIZABLE,-,realizable
485263696,LTL-Real/amba_decomposed_encode_8.tlsf,9158595,ltlsynt realizability,29005,seqreallar,359217,complete,0.241414,0.241108,113188.0,REALIZABLE,-,realizable
485263697,LTL-Real/amba_decomposed_encode_8.tlsf,9158595,ltlsynt realizability,29005,seqrealsd,359218,complete,0.234623,0.234773,113188.0,REALIZABLE,-,realizable
485263698,LTL-Real/amba_decomposed_encode_8.tlsf,9158595,ltlsynt realizability,29005,seqrealds,359219,complete,0.233316,0.233072,113188.0,REALIZABLE,-,realizable
485263699,LTL-Real/amba_decomposed_encode_8.tlsf,9158595,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.382832,0.344543,113188.0,REALIZABLE,-,realizable
485263700,LTL-Real/amba_decomposed_encode_8.tlsf,9158595,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.368757,1.48696,534716.0,REALIZABLE,-,realizable
485263701,LTL-Real/amba_decomposed_encode_8.tlsf,9158595,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.337456,0.341575,113188.0,REALIZABLE,-,realizable
485263702,LTL-Real/amba_decomposed_encode_8.tlsf,9158595,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.336898,0.340298,113188.0,REALIZABLE,-,realizable
485263325,LTL-Real/amba_decomposed_lock_10.tlsf,9158542,ltlsynt realizability,29005,seqreallar,359217,complete,699.495,699.634,4226428.0,REALIZABLE,-,realizable
