instance,category,real,n_ins,n_outs,acacia_result,acacia_time,ltlsynt_result,ltlsynt_time,slowdown
simple_arbiter_unreal14_9.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.056,OK,0.017,
simple_arbiter_unreal15_1.ltl,both_ok,unreal,5,5,OK,0.168,OK,0.017,9.6
simple_arbiter_unreal15_10.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.056,OK,0.017,
simple_arbiter_unreal15_2.ltl,acacia_slow,unreal,5,5,OK,0.428,OK,0.018,23.9
simple_arbiter_unreal15_3.ltl,acacia_slow,unreal,5,5,OK,3.377,OK,0.017,195.5
simple_arbiter_unreal15_4.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.058,OK,0.018,
simple_arbiter_unreal15_5.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.057,OK,0.017,
simple_arbiter_unreal15_6.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.039,OK,0.017,
simple_arbiter_unreal15_7.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.058,OK,0.017,
simple_arbiter_unreal15_8.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.055,OK,0.017,
simple_arbiter_unreal15_9.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.056,OK,0.017,
simple_arbiter_unreal16_1.ltl,acacia_slow,unreal,6,6,OK,1.262,OK,0.017,72.6
simple_arbiter_unreal16_2.ltl,acacia_slow,unreal,6,6,OK,4.678,OK,0.017,281.3
simple_arbiter_unreal16_3.ltl,ltlsynt_only,unreal,6,6,TIMEOUT,17.057,OK,0.017,
