family	instance	parameters	mode	claim_scope	build_status	monitor_count	latch_count	solver_status	verdict	seconds	known_verdict	agreement	verification	verification_reason
arbiter_with_buffer	arbiter_with_buffer_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	3	10	exit-0	REALIZABLE	0.010819	REALIZABLE	agree	VERIFIED	
arbiter_with_buffer	arbiter_with_buffer_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	4	14	exit-0	REALIZABLE	0.011085	REALIZABLE	agree	VERIFIED	
arbiter_with_buffer	arbiter_with_buffer_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	4	14	exit-0	REALIZABLE	0.011680	REALIZABLE	agree	VERIFIED	
arbiter_with_buffer	arbiter_with_buffer_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	5	18	exit-0	REALIZABLE	0.011792	REALIZABLE	agree	VERIFIED	
arbiter_with_buffer	arbiter_with_buffer_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	5	18	exit-0	REALIZABLE	0.013695	REALIZABLE	agree	VERIFIED	
arbiter_with_cancel	arbiter_with_cancel_pb_1_pe_.ltl	"{""n"": 1}"	exact	exact lowered objective	ok	6	16	exit-0	REALIZABLE	0.011939	REALIZABLE	agree	VERIFIED	
arbiter_with_cancel	arbiter_with_cancel_pb_1_pe_.ltl	"{""n"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	6	16	exit-0	REALIZABLE	0.011214	REALIZABLE	agree	VERIFIED	
arbiter_with_cancel	arbiter_with_cancel_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	13	34	exit-0	REALIZABLE	0.014619	REALIZABLE	agree	VERIFIED	
arbiter_with_cancel	arbiter_with_cancel_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	13	34	exit-0	REALIZABLE	0.015609	REALIZABLE	agree	VERIFIED	
arbiter_with_cancel	arbiter_with_cancel_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	19	50	exit-0	REALIZABLE	0.034152	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter_with_cancel	arbiter_with_cancel_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	19	50	exit-0	REALIZABLE	0.052499	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter_with_cancel	arbiter_with_cancel_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	25	66	exit-0	REALIZABLE	0.167176	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
arbiter_with_cancel	arbiter_with_cancel_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	25	66	exit-0	REALIZABLE	0.387602	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
chomp	chomp_pb_2_2_pe_.ltl	"{""N"": 2, ""M"": 2}"	exact	exact lowered objective	ok	12	78	exit-0	REALIZABLE	0.204458	REALIZABLE	agree	VERIFIED	
chomp	chomp_pb_2_2_pe_.ltl	"{""N"": 2, ""M"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	12	78	exit-0	REALIZABLE	0.227294	REALIZABLE	agree	VERIFIED	
collector_v1	collector_v1_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	4	50	exit-0	REALIZABLE	0.029445	REALIZABLE	agree	VERIFIED	
collector_v1	collector_v1_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	4	50	exit-0	REALIZABLE	0.028058	REALIZABLE	agree	VERIFIED	
collector_v3	collector_v3_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	7	89	exit-0	REALIZABLE	0.038903	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
collector_v3	collector_v3_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	7	90	exit-0	REALIZABLE	0.026536	REALIZABLE	agree	VERIFIED	
lift	lift_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	19	47	exit-0	REALIZABLE	0.037165	REALIZABLE	agree	VERIFIED	
lift	lift_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	19	48	exit-0	REALIZABLE	0.163647	REALIZABLE	agree	VERIFIED	
lift	lift_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	28	78	exit-0	REALIZABLE	0.336405	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
lift	lift_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	28	79	timeout	timeout	60.045236	REALIZABLE	unknown	not-run	
lift	lift_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	36	102	exit-0	REALIZABLE	3.201127	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
lift	lift_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	36	103	timeout	timeout	60.068959	REALIZABLE	unknown	not-run	
lift_unary_enc	lift_unary_enc_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	19	51	exit-0	REALIZABLE	0.050403	REALIZABLE	agree	VERIFIED	
lift_unary_enc	lift_unary_enc_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	19	52	exit-0	REALIZABLE	0.329282	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
lift_unary_enc	lift_unary_enc_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	27	79	exit-0	REALIZABLE	0.490879	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
lift_unary_enc	lift_unary_enc_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	27	80	timeout	timeout	60.067803	REALIZABLE	unknown	not-run	
lift_unary_enc	lift_unary_enc_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	35	115	exit-0	REALIZABLE	14.341796	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
lift_unary_enc	lift_unary_enc_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	35	116	timeout	timeout	60.070201	REALIZABLE	unknown	not-run	
load_balancer	load_balancer_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	10	27	exit-0	REALIZABLE	0.017574	REALIZABLE	agree	VERIFIED	
load_balancer	load_balancer_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	10	28	exit-1	UNREALIZABLE	0.019162	REALIZABLE	DISAGREE	not-applicable	
load_balancer	load_balancer_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	13	34	exit-0	REALIZABLE	0.016272	REALIZABLE	agree	VERIFIED	
load_balancer	load_balancer_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	13	35	exit-1	UNREALIZABLE	0.065046	REALIZABLE	DISAGREE	not-applicable	
load_balancer	load_balancer_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	16	41	exit-0	REALIZABLE	0.021491	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
load_balancer	load_balancer_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	16	42	exit-1	UNREALIZABLE	0.388791	REALIZABLE	DISAGREE	not-applicable	
load_balancer_unreal1	load_balancer_unreal1_pb_2_1_pe_.ltl	"{""n"": 2, ""u"": 1}"	exact	exact lowered objective	ok	11	30	exit-1	UNREALIZABLE	0.013611	UNREALIZABLE	agree	not-applicable	
load_balancer_unreal1	load_balancer_unreal1_pb_2_1_pe_.ltl	"{""n"": 2, ""u"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	11	31	exit-1	UNREALIZABLE	0.028455	UNREALIZABLE	agree	not-applicable	
load_balancer_unreal1	load_balancer_unreal1_pb_2_2_pe_.ltl	"{""n"": 2, ""u"": 2}"	exact	exact lowered objective	ok	11	32	exit-1	UNREALIZABLE	0.013371	UNREALIZABLE	agree	not-applicable	
load_balancer_unreal1	load_balancer_unreal1_pb_2_2_pe_.ltl	"{""n"": 2, ""u"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	11	33	exit-1	UNREALIZABLE	0.038879	UNREALIZABLE	agree	not-applicable	
load_balancer_unreal1	load_balancer_unreal1_pb_3_1_pe_.ltl	"{""n"": 3, ""u"": 1}"	exact	exact lowered objective	ok	16	43	exit-1	UNREALIZABLE	0.016460	UNREALIZABLE	agree	not-applicable	
load_balancer_unreal1	load_balancer_unreal1_pb_3_1_pe_.ltl	"{""n"": 3, ""u"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	16	44	exit-1	UNREALIZABLE	0.242269	UNREALIZABLE	agree	not-applicable	
load_balancer_unreal2	load_balancer_unreal2_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	11	31	exit-0	REALIZABLE	0.014469	REALIZABLE	agree	VERIFIED	
load_balancer_unreal2	load_balancer_unreal2_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	11	32	exit-1	UNREALIZABLE	0.032730	REALIZABLE	DISAGREE	not-applicable	
load_balancer_unreal2	load_balancer_unreal2_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	16	46	exit-1	UNREALIZABLE	0.019923	UNREALIZABLE	agree	not-applicable	
load_balancer_unreal2	load_balancer_unreal2_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	16	47	exit-1	UNREALIZABLE	0.286770	UNREALIZABLE	agree	not-applicable	
load_balancer_unreal2	load_balancer_unreal2_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	22	65	exit-1	UNREALIZABLE	0.034247	UNREALIZABLE	agree	not-applicable	
