source	target	path	descent	paths	nodes	ratio	bdd_nodes
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-1-unreal.ltl	real	input	444	354	1.2542372881355932	12231
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-1-unreal.ltl	real	output	444	354	1.2542372881355932	12231
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-1-unreal.ltl	unreal-formula	input	1	1	1.0	7974
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-1-unreal.ltl	unreal-formula	output	1200	943	1.2725344644750796	7974
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-116.ltl	real	input	344	275	1.250909090909091	10014
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-116.ltl	real	output	344	275	1.250909090909091	10014
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-116.ltl	unreal-formula	input	1	1	1.0	7385
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-116.ltl	unreal-formula	output	1160	903	1.2846068660022147	7385
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-117.ltl	real	input	364	291	1.2508591065292096	10530
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-117.ltl	real	output	364	291	1.2508591065292096	10530
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-117.ltl	unreal-formula	input	1	1	1.0	7453
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	g-unreal-117.ltl	unreal-formula	output	1168	911	1.2821075740944017	7453
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	heim-double-x11.ltl	real	input	95	95	1.0	16873
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	heim-double-x11.ltl	real	output	106	106	1.0	16873
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	heim-double-x11.ltl	unreal-formula	input	2	2	1.0	85208
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	heim-double-x11.ltl	unreal-formula	output	32768	27399	1.1959560567903937	85208
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	heim-double-x9.ltl	real	input	79	79	1.0	14027
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	heim-double-x9.ltl	real	output	88	88	1.0	14027
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	heim-double-x9.ltl	unreal-formula	input	2	2	1.0	82984
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	heim-double-x9.ltl	unreal-formula	output	32768	26589	1.232389333935086	82984
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	infinite-race-u24.ltl	real	input	452	452	1.0	187542
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	infinite-race-u24.ltl	real	output	903	903	1.0	187542
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	infinite-race-u24.ltl	unreal-formula	input	2	2	1.0	144434
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	infinite-race-u24.ltl	unreal-formula	output	60228	28428	2.118615449556775	144434
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	lift_gr1_pb_3_pe_.ltl	real	input	16	16	1.0	8759
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	lift_gr1_pb_3_pe_.ltl	real	output	440	276	1.5942028985507246	8759
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	lift_gr1_pb_3_pe_.ltl	unreal-formula	input	27	15	1.8	3354
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	lift_gr1_pb_3_pe_.ltl	unreal-formula	output	432	240	1.8	3354
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	lift_pb_3_pe_.ltl	real	input	8	8	1.0	4896
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	lift_pb_3_pe_.ltl	real	output	236	120	1.9666666666666666	4896
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	lift_pb_3_pe_.ltl	unreal-formula	input	29	18	1.6111111111111112	4664
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	lift_pb_3_pe_.ltl	unreal-formula	output	232	144	1.6111111111111112	4664
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	load_balancer_unreal1_pb_6_4_pe_.ltl	real	input	128	128	1.0	68621
