cohort	instance	arm	c0_result	c0_seconds	c3_result	c3_seconds	delta_class	acacia_sha	binary_sha256_c0	binary_sha256_c3	preset	timestamp_utc	status
discovery	full_arbiter_unreal1_pb_3_8_pe_.ltl	real+unreal	TIMEOUT	17.089	TIMEOUT	17.092	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	full_arbiter_unreal2_pb_5_pe_.ltl	real+unreal	TIMEOUT	17.054	TIMEOUT	17.054	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	lift_gr1+_pb_3_pe_.ltl	real+unreal	TIMEOUT	17.038	TIMEOUT	17.053	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	lift_gr1_pb_3_pe_.ltl	real+unreal	REALIZABLE	3.457	TIMEOUT	17.053	loss	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	lift_pb_4_pe_.ltl	real+unreal	REALIZABLE	2.040	TIMEOUT	17.053	loss	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	lift_unary_enc_pb_4_pe_.ltl	real+unreal	TIMEOUT	17.037	TIMEOUT	17.089	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	load_balancer_unreal1_pb_4_8_pe_.ltl	real+unreal	TIMEOUT	17.085	TIMEOUT	17.086	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	prioritized_arbiter_pb_7_pe_.ltl	real+unreal	TIMEOUT	17.036	TIMEOUT	17.053	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	prioritized_arbiter_unreal2_pb_30_pe_.ltl	real+unreal	TIMEOUT	17.094	TIMEOUT	17.093	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	robot-resource-2d16.ltl	real+unreal	TIMEOUT	17.054	UNREALIZABLE	5.341	gain	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
