family_key	solved_instance	solved_params_json	solved_seconds	unsolved_instance	unsolved_params_json	unsolved_failure	pair_kind	l1_distance
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_2_11_pe_.ltl	"{""n"":2,""u"":11}"	0.077230688999407	round_robin_arbiter_unreal1_pb_3_11_pe_.ltl	"{""n"":3,""u"":11}"	TIMEOUT	cover	0.5
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_2_12_pe_.ltl	"{""n"":2,""u"":12}"	0.12732653797138482	round_robin_arbiter_unreal1_pb_3_12_pe_.ltl	"{""n"":3,""u"":12}"	TIMEOUT	cover	0.5
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_2_13_pe_.ltl	"{""n"":2,""u"":13}"	0.25135781697463244	round_robin_arbiter_unreal1_pb_3_13_pe_.ltl	"{""n"":3,""u"":13}"	TIMEOUT	cover	0.5
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_2_14_pe_.ltl	"{""n"":2,""u"":14}"	0.5421257239067927	round_robin_arbiter_unreal1_pb_3_14_pe_.ltl	"{""n"":3,""u"":14}"	TIMEOUT	cover	0.5
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_2_15_pe_.ltl	"{""n"":2,""u"":15}"	1.1932140049757436	round_robin_arbiter_unreal1_pb_3_15_pe_.ltl	"{""n"":3,""u"":15}"	TIMEOUT	cover	0.5
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_2_16_pe_.ltl	"{""n"":2,""u"":16}"	2.529041346977465	round_robin_arbiter_unreal1_pb_3_16_pe_.ltl	"{""n"":3,""u"":16}"	TIMEOUT	cover	0.5
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_2_9_pe_.ltl	"{""n"":2,""u"":9}"	0.04020173498429358	round_robin_arbiter_unreal1_pb_3_9_pe_.ltl	"{""n"":3,""u"":9}"	TIMEOUT	cover	0.5
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_3_8_pe_.ltl	"{""n"":3,""u"":8}"	57.61703180603217	round_robin_arbiter_unreal1_pb_3_9_pe_.ltl	"{""n"":3,""u"":9}"	TIMEOUT	cover	0.02040816326530612244897959184
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_3_6_pe_.ltl	"{""n"":3,""u"":6}"	0.9435929029714316	round_robin_arbiter_unreal1_pb_4_6_pe_.ltl	"{""n"":4,""u"":6}"	TIMEOUT	cover	0.5
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_4_5_pe_.ltl	"{""n"":4,""u"":5}"	35.745270455954596	round_robin_arbiter_unreal1_pb_4_6_pe_.ltl	"{""n"":4,""u"":6}"	TIMEOUT	cover	0.02040816326530612244897959184
