rank	score	instance	tlsf_file	family_key	family_display	origin_kind	parameter_values_json	parameter_dimension	tlsf_bytes	expectation	unsolved_result	failure_kind	neighbour_instance	neighbour_params_json	neighbour_seconds	neighbour_result	pair_kind	score_breakdown
31	37	collector_v2_pb_27_pe_.ltl	collector_v2_pb_27_pe_.tlsf	param:tlsf/collector/parametric/collector_v2.tlsf	collector_v2	param	"{""n"": 27}"	1	511	none	TIMEOUT	time_limit	collector_v2_pb_15_pe_.ltl	"{""n"":15}"	12.335180721012875	REALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
32	37	generalized_buffer_pb_5_pe_.ltl	generalized_buffer_pb_5_pe_.tlsf	param:tlsf/generalized_buffer/parametric/generalized_buffer.tlsf	generalized_buffer	param	"{""n"": 5}"	1	2185	none	TIMEOUT	time_limit	generalized_buffer_pb_4_pe_.ltl	"{""n"":4}"	11.897390626952983	REALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
33	37	load_balancer_pb_8_pe_.ltl	load_balancer_pb_8_pe_.tlsf	param:tlsf/load_balancer/parametric/load_balancer.tlsf	load_balancer	param	"{""n"": 8}"	1	1613	realizable	TIMEOUT	time_limit	load_balancer_pb_7_pe_.ltl	"{""n"":7}"	5.385427915956825	REALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
34	37	load_balancer_unreal1_pb_6_5_pe_.ltl	load_balancer_unreal1_pb_6_5_pe_.tlsf	param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1	param	"{""n"": 6, ""u"": 5}"	2	1865	none	TIMEOUT	time_limit	load_balancer_unreal1_pb_5_5_pe_.ltl	"{""n"":5,""u"":5}"	13.392795808031224	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
35	37	load_balancer_unreal2_pb_6_pe_.ltl	load_balancer_unreal2_pb_6_pe_.tlsf	param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal2.tlsf	load_balancer_unreal2	param	"{""n"": 6}"	1	1858	unrealizable	TIMEOUT	time_limit	load_balancer_unreal2_pb_5_pe_.ltl	"{""n"":5}"	11.358172932988964	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
36	37	ltl2dba_R_pb_8_pe_.ltl	ltl2dba_R_pb_8_pe_.tlsf	param:tlsf/ltl2dba/parametric/ltl2dba_R.tlsf	ltl2dba_R	param	"{""n"": 8}"	1	674	unrealizable	TIMEOUT	time_limit	ltl2dba_R_pb_7_pe_.ltl	"{""n"":7}"	6.143375063082203	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
37	37	round_robin_arbiter_pb_5_pe_.ltl	round_robin_arbiter_pb_5_pe_.tlsf	param:tlsf/round_robin_arbiter/parametric/round_robin_arbiter.tlsf	round_robin_arbiter	param	"{""n"": 5}"	1	1750	realizable	TIMEOUT	time_limit	round_robin_arbiter_pb_4_pe_.ltl	"{""n"":4}"	11.729962211102247	REALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
38	32	abcg_arbiter_pb_4_pe_.ltl	abcg_arbiter_pb_4_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	abcg_arbiter	param	"{""n"": 4}"	1	1429	none	TIMEOUT	time_limit	abcg_arbiter_pb_3_pe_.ltl	"{""n"":3}"	36.370379983098246	REALIZABLE	cover	minimal+12,unsolved60+10,family3+6,tlsf20k+4
39	32	amba_decomposed_lock_pb_14_pe_.ltl	amba_decomposed_lock_pb_14_pe_.tlsf	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	amba_decomposed_lock	param	"{""n"": 14}"	1	2100	realizable	TIMEOUT	time_limit	amba_decomposed_lock_pb_13_pe_.ltl	"{""n"":13}"	20.220548374927603	REALIZABLE	cover	minimal+12,unsolved60+10,family3+6,tlsf20k+4
40	32	full_arbiter_unreal1_pb_2_20_pe_.ltl	full_arbiter_unreal1_pb_2_20_pe_.tlsf	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1	param	"{""n"": 2, ""u"": 20}"	2	1843	unrealizable	TIMEOUT	time_limit	full_arbiter_unreal1_pb_2_18_pe_.ltl	"{""n"":2,""u"":18}"	21.144463615957648	UNREALIZABLE	cover	minimal+12,unsolved60+10,family3+6,tlsf20k+4
